ts,symbol,interval,open,high,low,close,volume,source
2026-03-05 23:59:00+00:00,BTC-USD,1m,70820.86,70908.14,70798.98,70890.72,58.5488,binance
2026-03-06 00:00:00+00:00,BTC-USD,1m,70891.02,70909.08,70869.7,70869.76,17.93034,binance
2026-03-06 00:01:00+00:00,BTC-USD,1m,70869.76,70876.83,70852.05,70866.6,6.74913,binance
2026-03-06 00:02:00+00:00,BTC-USD,1m,70866.59,70873.78,70833.36,70837.11,7.35541,binance
2026-03-06 00:03:00+00:00,BTC-USD,1m,70837.11,70876.85,70837.1,70852.56,4.13188,binance
2026-03-06 00:04:00+00:00,BTC-USD,1m,70852.56,70900.4,70852.56,70898.01,16.12569,binance
2026-03-06 00:05:00+00:00,BTC-USD,1m,70898.0,70898.01,70866.55,70888.07,2.62406,binance
2026-03-06 00:06:00+00:00,BTC-USD,1m,70888.07,70941.58,70888.06,70930.85,6.06706,binance
2026-03-06 00:07:00+00:00,BTC-USD,1m,70930.86,70941.64,70897.39,70914.72,2.96321,binance
2026-03-06 00:08:00+00:00,BTC-USD,1m,70914.72,70923.8,70902.89,70906.17,3.71586,binance
2026-03-06 00:09:00+00:00,BTC-USD,1m,70906.17,70946.14,70889.98,70889.98,48.12588,binance
2026-03-06 00:10:00+00:00,BTC-USD,1m,70889.97,70890.0,70865.72,70890.0,4.58684,binance
2026-03-06 00:11:00+00:00,BTC-USD,1m,70890.0,70984.42,70889.99,70981.48,48.8894,binance
2026-03-06 00:12:00+00:00,BTC-USD,1m,70981.48,71006.53,70973.49,71006.52,7.11162,binance
2026-03-06 00:13:00+00:00,BTC-USD,1m,71006.53,71047.95,71006.52,71032.92,6.76239,binance
2026-03-06 00:14:00+00:00,BTC-USD,1m,71032.91,71043.0,71018.29,71018.3,4.40366,binance
2026-03-06 00:15:00+00:00,BTC-USD,1m,71018.29,71018.3,70944.09,70944.1,4.64791,binance
2026-03-06 00:16:00+00:00,BTC-USD,1m,70944.1,70982.95,70938.0,70976.93,48.13411,binance
2026-03-06 00:17:00+00:00,BTC-USD,1m,70976.92,71043.33,70976.92,70988.86,49.79362,binance
2026-03-06 00:18:00+00:00,BTC-USD,1m,70988.86,70988.86,70911.27,70961.21,2.92993,binance
2026-03-06 00:19:00+00:00,BTC-USD,1m,70961.21,71030.01,70957.3,71008.99,59.0818,binance
2026-03-06 00:20:00+00:00,BTC-USD,1m,71008.99,71009.0,70925.03,70947.95,62.30031,binance
2026-03-06 00:21:00+00:00,BTC-USD,1m,70947.95,70971.58,70947.95,70960.08,3.72453,binance
2026-03-06 00:22:00+00:00,BTC-USD,1m,70960.08,70967.01,70923.69,70967.01,4.25176,binance
2026-03-06 00:23:00+00:00,BTC-USD,1m,70967.01,70978.39,70963.19,70973.42,3.69606,binance
2026-03-06 00:24:00+00:00,BTC-USD,1m,70973.42,71035.67,70973.42,71035.67,3.39677,binance
2026-03-06 00:25:00+00:00,BTC-USD,1m,71035.66,71035.66,70952.58,70952.58,2.94066,binance
2026-03-06 00:26:00+00:00,BTC-USD,1m,70952.59,70952.59,70863.69,70894.47,6.52446,binance
2026-03-06 00:27:00+00:00,BTC-USD,1m,70894.46,70919.01,70894.46,70919.0,2.35492,binance
