symbol,tech__vol,tech__skew,tech__kurt,tech__tail_1pct,tech__corr_to_mkt,tech__beta_to_mkt,tech__pc1_abs_loading,tech__mom_30d,fund__mcap_log,fund__fdv_log,fund__fdv_to_mcap,fund__n_categories
NEAR-USD,0.008182737883137368,-0.1495396330397071,6.082502323415001,0.0472226627034384,0.886218541012036,1.1019035156624166,0.14344473674603883,0.22851153039832472,,,,
OMNI-USD,0.02766031304530096,5.000368486834763,83.25911637750771,0.1523154124158534,0.09487746095056242,0.39877161935570876,0.005229853010598492,-0.17532467532467666,,,,
ONDO-USD,0.00832421194985891,-0.09265845776715277,6.479982162401013,0.046880246312345525,0.9160638458451255,1.1587052374072666,0.14873192703547727,0.05360741636437072,,,,
OPEN-USD,0.011213553506249831,0.5603255053997881,12.704747340992999,0.060947770502369616,0.5377162668392318,0.9162216116790329,0.08294417973512312,-0.1497418244406199,,,,
PAXG-USD,0.0035379274624747336,-2.072710619650839,29.118304859165747,0.022043312290205584,0.1394987191964229,0.07499343417391975,0.022419606615635617,0.08366564417178113,,,,
PENDLE-USD,0.00962270702589731,0.19661352457453493,5.925772697814818,0.0538735708178271,0.8015965576562832,1.1720798615902597,0.12945719932559455,0.15281501340482495,,,,
PENGU-USD,0.010412513529627365,0.05473023779623618,4.789726341605748,0.0589395317471894,0.8976710172734257,1.4202895098171104,0.14504863185546885,0.12534191472244594,,,,
PEPE-USD,0.009978325313197424,0.9189583146585234,9.222336862227808,0.05515742836783705,0.7960917664183252,1.2070489652511334,0.12909611630894088,2.6645352591003757e-15,,,,
PLUME-USD,0.010436975620416879,0.24506357493384,7.557327811479041,0.05827532948390596,0.7600769905976958,1.2054143345578527,0.12075726293030038,-0.144940747493165,,,,
POL-USD,0.009882238122957618,1.1423421134700629,19.2469108615123,0.05767450192673441,0.6842806085535285,1.0275279511787052,0.11065094459974324,0.15343915343915082,,,,
PUMP-USD,0.01253870197411414,0.5108857791831015,4.424004087221562,0.07082395196683125,0.7073210200682032,1.3476379789092023,0.11242956998330264,-0.0005197505197516161,,,,
S-USD,0.009872385518904304,0.3043449388228873,7.823676875131797,0.05775161793428167,0.7757443840914345,1.1637102073471002,0.12448493617589843,-0.10324748040313547,,,,
SEI-USD,0.006895918195473008,-0.2586460900314684,6.278123629968521,0.040248386804724375,0.8825335701351363,0.9247565844997099,0.14310354449338888,-0.07537012113054986,,,,
SHIB-USD,0.007457507003479375,0.9670167500999615,14.197042572161648,0.041501899518906094,0.840899927463158,0.9528884920447752,0.13671949324160215,-0.03826955074875493,,,,
SOL-USD,0.007028442473860952,-0.4955850765017045,9.197194336375725,0.04135147396772482,0.8690710736573642,0.928150679035219,0.14130059129135636,0.08670445761401657,,,,
SOMI-USD,0.015810966576927807,1.8324095007490258,39.72887543645233,0.09197798142817877,0.41541705128330236,0.9980374466342125,0.061652788824693286,0.11271367521367459,,,,
STO-USD,0.01739660160081017,15.230250626278346,488.85843032396065,0.06738181421580083,0.29508647540482946,0.7800416998515017,0.04277428517241803,0.17580340264650363,,,,
SUI-USD,0.008503710843074644,-0.2857026918254814,7.783145301358887,0.05092356657386817,0.8980741500347519,1.1604455761569443,0.14571368933881257,-0.009532157335378821,,,,
TAO-USD,0.009368874097631966,-0.050845894809879194,8.798563475531301,0.05109436671472434,0.7734874652774938,1.1011456819102396,0.125144334034818,0.20778364116094994,,,,
TON-USD,0.006656032436885177,-0.04902918389445302,12.997140046253302,0.037194460469656965,0.692866992676137,0.7007601540867813,0.11190581879444784,-0.06966618287372706,,,,
TRUMP-USD,0.00678910542752063,0.5853316410754377,27.387100117564593,0.03894305811922352,0.7252486303492649,0.7481756459904673,0.11741462284820725,0.0758044554455437,,,,
TRX-USD,0.0021204853395792225,-0.8032870723737089,5.520288867159964,0.011894466744872257,0.3748314446502307,0.12077453890653107,0.06130556870338637,0.015489913544663114,,,,
TUT-USD,0.00959261129355741,0.42530554504177454,34.466971623500555,0.04957510796325476,0.6368419851518754,0.9282664008171032,0.1007474701572522,-0.06481481481481521,,,,
UNI-USD,0.009281057464547661,2.744776495350189,59.013444407255626,0.05056786140398191,0.7267353497678055,1.024891389312446,0.11782754935040612,0.1824387216878658,,,,
VIRTUAL-USD,0.011949087374945455,0.9558664579873682,8.15612704247498,0.0672159158627218,0.7910341846260829,1.4362633747311555,0.12729739572924575,0.2314653672119733,,,,
WIF-USD,0.010141183472784239,-0.14831755164487115,9.140359455442995,0.05551343731972015,0.8006289625386693,1.233741102535011,0.12899870329788538,-0.08018867924528295,,,,
WLD-USD,0.010219429256055335,4.531553297058414,91.66693565879265,0.05211438340957364,0.7336125810782381,1.1391935290808741,0.11815855633957655,0.05496828752642613,,,,
WLFI-USD,0.009935689909372436,-0.0400561075201895,17.147819763929586,0.0585430268414403,0.5722661442642548,0.8639730175721516,0.09090828834087297,0.059210526315789824,,,,
