symbol,mean_ret,vol,skew,kurt,p01,p99,tail_1pct,corr_to_mkt,beta_to_mkt,pc1_loading,pc1_abs_loading,mom_7d,mom_30d
FLOKI-USD,-0.00015129528693987555,0.008687798534445994,0.17711904354459126,6.823115861016724,-0.02177165698548449,0.02753979569478476,0.04931145268026925,0.8856018489562557,1.1691018642071807,0.14329445642615307,0.14329445642615307,0.0,-0.05876393110435485
FORM-USD,-0.0002442033173026101,0.009641204957252122,-0.07739371577905511,8.839326645955607,-0.027940864223404936,0.027661084029496723,0.055601948252901656,0.6917296253328611,1.0133787392670424,0.11028849053948755,0.11028849053948755,0.0,-0.06627393225331268
HBAR-USD,-1.7877909823481967e-05,0.0076068238677957515,0.1492575794305314,5.765808145418429,-0.0213152485255935,0.0214350412464221,0.0427502897720156,0.8584871722572162,0.9922960620196651,0.13915423334275467,0.13915423334275467,0.0,0.10387750605860457
HEMI-USD,-0.00021961622671351014,0.01104546819424597,-0.056978651708165,9.299355137459052,-0.02943308005142986,0.02730792138177478,0.05674100143320464,0.5756951876030669,0.9662306854518228,0.08978584829624914,0.08978584829624914,0.0,-0.1808809746954062
ICP-USD,-3.0295725108538938e-05,0.0101238450187802,0.09648863917267152,5.548420227554132,-0.027244631373881154,0.031710197772581286,0.05895482914646244,0.7312522556590053,1.1249074784477822,0.11751565673225985,0.11751565673225985,0.0,0.03518440016956337
LINEA-USD,-0.00026435281005829175,0.011297841123595545,0.6849486447326141,15.723307606377,-0.030743158135806702,0.03049161364950839,0.06123477178531509,0.663761193214705,1.1394923610363281,0.10486498030075804,0.10486498030075804,0.0,-0.1260273972602728
LINK-USD,-0.0001419244596243346,0.0067656515775232975,-0.3312016897957924,7.588795590415984,-0.019907742998352494,0.018687509259560364,0.038595252257912854,0.918346114973252,0.9441046107542764,0.14985980695710455,0.14985980695710455,0.0,0.0649819494584829
LISTA-USD,-0.0002049490253431408,0.008994564482921458,-0.6864088752374612,19.195790659974104,-0.024298319360568744,0.022627765152384655,0.046926084512953395,0.7597848482237084,1.038424354671342,0.12096211451723429,0.12096211451723429,0.0,-0.0981856990394867
LTC-USD,-0.00014408476572157355,0.0062825219398530505,-0.7269433431790202,8.165746191075439,-0.020396426655780984,0.01607610717199921,0.03647253382778019,0.8757725300459613,0.8360445685887286,0.14189655263242093,0.14189655263242093,0.0,0.038762650372349716
MIRA-USD,-4.7971334803713384e-05,0.015531318375889527,12.927118918634317,370.37441314218887,-0.03463078813188787,0.030279541877001645,0.06491033000888952,0.4372572227062623,1.0319280353377764,0.06546150931974545,0.06546150931974545,0.0,-0.007891770011274724
NEAR-USD,-8.966971772596663e-05,0.008182737883137368,-0.1495396330397071,6.082502323415001,-0.02415453695042089,0.023068125753017518,0.0472226627034384,0.886218541012036,1.1019035156624166,0.14344473674603883,0.14344473674603883,0.0,0.22851153039832472
OMNI-USD,8.415041185529229e-05,0.02766031304530096,5.000368486834763,83.25911637750771,-0.06930946116786822,0.08300595124798515,0.1523154124158534,0.09487746095056242,0.39877161935570876,0.005229853010598492,0.005229853010598492,-0.02056555269922855,-0.17532467532467666
ONDO-USD,-0.00015870149089771755,0.00832421194985891,-0.09265845776715277,6.479982162401013,-0.02484589667153019,0.02203434964081534,0.046880246312345525,0.9160638458451255,1.1587052374072666,0.14873192703547727,0.14873192703547727,0.0,0.05360741636437072
OPEN-USD,6.768865732137802e-06,0.011213553506249831,0.5603255053997881,12.704747340992999,-0.03082325219330535,0.030124518309064267,0.060947770502369616,0.5377162668392318,0.9162216116790329,0.08294417973512312,0.08294417973512312,0.0,-0.1497418244406199
PAXG-USD,0.00010782106043927955,0.0035379274624747336,-2.072710619650839,29.118304859165747,-0.012139010207428802,0.009904302082776784,0.022043312290205584,0.1394987191964229,0.07499343417391975,0.022419606615635617,0.022419606615635617,0.0,0.08366564417178113
PENDLE-USD,-0.00010763096960308171,0.00962270702589731,0.19661352457453493,5.925772697814818,-0.026021288755536574,0.027852282062290526,0.0538735708178271,0.8015965576562832,1.1720798615902597,0.12945719932559455,0.12945719932559455,0.0,0.15281501340482495
PENGU-USD,-7.895112639719297e-05,0.010412513529627365,0.05473023779623618,4.789726341605748,-0.029055652357154793,0.029883879390034604,0.0589395317471894,0.8976710172734257,1.4202895098171104,0.14504863185546885,0.14504863185546885,0.0,0.12534191472244594
PEPE-USD,7.0758784726214996e-06,0.009978325313197424,0.9189583146585234,9.222336862227808,-0.025181998392407156,0.029975429975429894,0.05515742836783705,0.7960917664183252,1.2070489652511334,0.12909611630894088,0.12909611630894088,0.0,2.6645352591003757e-15
PLUME-USD,-0.00018754396790781388,0.010436975620416879,0.24506357493384,7.557327811479041,-0.02878925862291679,0.029486070860989172,0.05827532948390596,0.7600769905976958,1.2054143345578527,0.12075726293030038,0.12075726293030038,0.0,-0.144940747493165
POL-USD,5.618617378044734e-05,0.009882238122957618,1.1423421134700629,19.2469108615123,-0.028022095509622313,0.029652406417112094,0.05767450192673441,0.6842806085535285,1.0275279511787052,0.11065094459974324,0.11065094459974324,0.0,0.15343915343915082
PUMP-USD,7.14404533455718e-05,0.01253870197411414,0.5108857791831015,4.424004087221562,-0.03270718946974764,0.03811676249708361,0.07082395196683125,0.7073210200682032,1.3476379789092023,0.11242956998330264,0.11242956998330264,0.0,-0.0005197505197516161
